"","Compound.Name","nmol.Enviro.med","nmol.Enviro.min","nmol.Enviro.max","nmol.C.med","nmol.C.min","nmol.C.max","mol.C.Fraction.med","mol.C.Fraction.min","mol.C.Fraction.max"
"91","Chitobiose",0.000257478320557135,0.0000922865028598916,0.00250400235272483,0.00411965312891417,0.00147658404575827,0.0400640376435972,0.00000173975591329383,0.000000330433407766425,0.0000199718169585337
"92","cGMP",0.00037872459330349,0.000177485400126335,0.00111836829676495,0.0037872459330349,0.00177485400126335,0.0111836829676495,0.00000149506604231764,0.000000780791913553517,0.00000195706465768885
"93","Carnitine",0.0201691182505569,0.00364616350130682,0.0498567112612685,0.141183827753899,0.0255231445091477,0.34899697882888,0.0000675994602805446,0.0000134471941416567,0.000163504327200687
"94","Butyryl-L-carnitine",0.0000633012740888732,0.00000609913978968889,0.000166803713501228,0.000696314014977605,0.0000670905376865778,0.00183484084851351,0.000000304759134426585,0.0000000751973049803197,0.00000145907791324473
"95","Betaine",1.79250805228485,0.634574906053627,4.64098978028388,8.96254026142426,3.17287453026814,23.2049489014194,0.00511740733958315,0.000957477644906336,0.00993347443988534
"96","Aspartic acid",0.171871549636053,0.0100267963530625,0.500178601927529,0.68748619854421,0.0401071854122499,2.00071440771012,0.000276717055140181,0.0000653981131588994,0.000841042570315877
"97","Asparagine",0.055724070989705,0.0189236747063211,0.156693772984991,0.22289628395882,0.0756946988252845,0.626775091939964,0.000113636519912597,0.0000266317962771279,0.000271848281192953
"98","Arsenobetaine",0.0189001914715503,0.00236261789574267,0.0536857696148642,0.0945009573577515,0.0118130894787133,0.268428848074321,0.0000342869998497913,0.00000584169623533016,0.000226192376755028
"99","Arginine",0.0742955398914527,0.0140231682517536,0.386745474214285,0.445773239348716,0.0841390095105218,2.32047284528571,0.000214390097033468,0.000069010950090773,0.000919689652469575
"100","AMP",0.0368087048805351,0.00025532842307408,0.381560747896628,0.368087048805351,0.0025532842307408,3.81560747896628,0.000144191419209669,0.00000326277276141365,0.00175871025973757
"101","Aminobutyric Acid",0.0698275432738876,0.02468222532775,0.121564242931977,0.27931017309555,0.0987289013110001,0.48625697172791,0.000140762978653645,0.000037678058426282,0.00042764193249112
"102","Amino Propanesulfonic Acid",0.0543339494324747,0.0106817189923398,0.581395509142236,0.163001848297424,0.0320451569770193,1.74418652742671,0.0000836848924395735,0.00000844602620644463,0.000755039238355089
"103","Allopurinol",0.000911287211817338,0.0000250230820757826,0.0033860032323839,0.00455643605908669,0.000125115410378913,0.0169300161619195,0.00000262322496479942,0.000000158003572276973,0.0000113409807868778
"104","Alanine",0.288649296260232,0.067658176498628,2.13830244121824,0.865947888780697,0.202974529495884,6.41490732365471,0.000411727467975988,0.000114409762140596,0.00280568573381643
"105","Adenosyl Methionine",0.00100060306852045,0.0000456112125100221,0.0196056526229229,0.0150090460278068,0.000684168187650332,0.294084789343843,0.00000672965158181042,0.000000471754213661576,0.00012495488134148
"106","Adenosyl Homocysteine",0.00304776670362897,0.000493720550636163,0.0805836231253442,0.0426687338508056,0.00691208770890628,1.12817072375482,0.0000227866700542444,0.00000298966922620023,0.00047425039856031
"107","Adenosine",0.0271711211614196,0.00319753284405744,0.0859382248339017,0.271711211614196,0.0319753284405744,0.859382248339017,0.000132798962821471,0.0000252327409099946,0.000458399232025037
"108","Adenine",0.0395984810199258,0.00736256102463558,0.0755529332438209,0.197992405099629,0.0368128051231779,0.377764666219104,0.0000962267273071998,0.0000225787378380846,0.000180759731268603
"109","Aconitic Acid",0.00020578959766511,0.0000723267424604791,0.00198155507635679,0.00123473758599066,0.000433960454762875,0.0118893304581407,0.000000649724427082554,0.000000156400607093486,0.00000592679983435105
"110","Acetyl-L-carnitine",0.00438164502013476,0.00131934248679292,0.0186487129356748,0.0394348051812129,0.0118740823811363,0.167838416421073,0.0000187505389027473,0.00000452683149325728,0.000145072924641246
"111","6-Methyladenine",26.1094241832735,2.99504121798018,77.8667332649515,156.656545099641,17.9702473078811,467.200399589709,0.0784228349052598,0.0151077109011147,0.353129169690662
"112","5-Methylcytosine",2.7852486366902,1.27680104462865,23.2897334730184,13.926243183451,6.38400522314326,116.448667365092,0.00785156928522955,0.00180814087389092,0.048951657534515
"113","4-Hydroxyisoleucine",1.875026329419,0.343802876789008,16.7056407748191,11.250157976514,2.06281726073405,100.233844648915,0.00566114983470204,0.00107137193993297,0.0400735502960404
"114","(3-Carboxypropyl)trimethylammonium (TMAB)",26.8749884155132,4.84850180710785,68.0394202295988,188.124918908593,33.939512649755,476.275941607192,0.0962016699711438,0.0165447872766851,0.199378448439837
